projectid,projeto,cliente,bu,pm,fase,especialidade,ano,mes,horas_orcadas,horas_reais,variancia_horas,status_horas,data_referencia
PRJ-2022,Projeto 22,Alfa Industria,Alimentos,Ricardo Lima,Planejamento,Gestão,2024,3,89,0,-89,Dentro Orcado,2024-03-01
PRJ-2022,Projeto 22,Alfa Industria,Alimentos,Ricardo Lima,Engenharia,Gestão,2024,4,77,0,-77,Dentro Orcado,2024-04-01
PRJ-2022,Projeto 22,Alfa Industria,Alimentos,Ricardo Lima,Software,Software,2024,4,60,0,-60,Dentro Orcado,2024-04-01
PRJ-2022,Projeto 22,Alfa Industria,Alimentos,Ricardo Lima,Hardware,Hardware,2024,6,104,0,-104,Dentro Orcado,2024-06-01
PRJ-2022,Projeto 22,Alfa Industria,Alimentos,Ricardo Lima,Instalação,Instalação,2024,8,113,0,-113,Dentro Orcado,2024-08-01
PRJ-2022,Projeto 22,Alfa Industria,Alimentos,Ricardo Lima,Testes,Testes,2024,7,67,0,-67,Dentro Orcado,2024-07-01
PRJ-2022,Projeto 22,Alfa Industria,Alimentos,Ricardo Lima,Startup,Gestão,2024,10,58,0,-58,Dentro Orcado,2024-10-01
PRJ-2022,Projeto 22,Alfa Industria,Alimentos,Ricardo Lima,Entrega,Gestão,2024,10,138,0,-138,Dentro Orcado,2024-10-01
PRJ-2023,Projeto 23,Alfa Industria,Industrial,Carlos Silva,Proposta,Gestão,2024,1,118,118,0,Dentro Orcado,2024-01-01
PRJ-2023,Projeto 23,Alfa Industria,Industrial,Carlos Silva,Planejamento,Gestão,2024,3,138,155,17,Acima Orcado,2024-03-01
PRJ-2023,Projeto 23,Alfa Industria,Industrial,Carlos Silva,Engenharia,Gestão,2024,3,195,201,6,Acima Orcado,2024-03-01
PRJ-2023,Projeto 23,Alfa Industria,Industrial,Carlos Silva,Software,Software,2024,5,148,144,-4,Dentro Orcado,2024-05-01
PRJ-2023,Projeto 23,Alfa Industria,Industrial,Carlos Silva,Hardware,Hardware,2024,5,85,98,13,Acima Orcado,2024-05-01
PRJ-2023,Projeto 23,Alfa Industria,Industrial,Carlos Silva,Instalação,Instalação,2024,8,56,50,-6,Dentro Orcado,2024-08-01
PRJ-2023,Projeto 23,Alfa Industria,Industrial,Carlos Silva,Testes,Testes,2024,9,94,87,-7,Dentro Orcado,2024-09-01
PRJ-2023,Projeto 23,Alfa Industria,Industrial,Carlos Silva,Startup,Gestão,2024,10,88,84,-4,Dentro Orcado,2024-10-01
PRJ-2023,Projeto 23,Alfa Industria,Industrial,Carlos Silva,Entrega,Gestão,2024,10,120,119,-1,Dentro Orcado,2024-10-01
PRJ-2024,Projeto 24,Beta Manufacturing,Energia,Fernando Alves,Proposta,Gestão,2024,3,136,133,-3,Dentro Orcado,2024-03-01
PRJ-2024,Projeto 24,Beta Manufacturing,Energia,Fernando Alves,Planejamento,Gestão,2024,4,200,182,-18,Dentro Orcado,2024-04-01
PRJ-2024,Projeto 24,Beta Manufacturing,Energia,Fernando Alves,Engenharia,Gestão,2024,3,174,183,9,Acima Orcado,2024-03-01
PRJ-2024,Projeto 24,Beta Manufacturing,Energia,Fernando Alves,Software,Software,2024,4,118,106,-12,Dentro Orcado,2024-04-01
PRJ-2024,Projeto 24,Beta Manufacturing,Energia,Fernando Alves,Hardware,Hardware,2024,5,154,0,-154,Dentro Orcado,2024-05-01
PRJ-2024,Projeto 24,Beta Manufacturing,Energia,Fernando Alves,Instalação,Instalação,2024,7,95,0,-95,Dentro Orcado,2024-07-01
PRJ-2024,Projeto 24,Beta Manufacturing,Energia,Fernando Alves,Testes,Testes,2024,9,90,0,-90,Dentro Orcado,2024-09-01
PRJ-2024,Projeto 24,Beta Manufacturing,Energia,Fernando Alves,Startup,Gestão,2024,9,94,0,-94,Dentro Orcado,2024-09-01
PRJ-2024,Projeto 24,Beta Manufacturing,Energia,Fernando Alves,Entrega,Gestão,2024,10,84,0,-84,Dentro Orcado,2024-10-01
PRJ-2025,Projeto 25,Delta Automotive,Automação,Ricardo Lima,Proposta,Gestão,2024,2,117,127,10,Acima Orcado,2024-02-01
PRJ-2025,Projeto 25,Delta Automotive,Automação,Ricardo Lima,Planejamento,Gestão,2024,2,96,98,2,Acima Orcado,2024-02-01
PRJ-2025,Projeto 25,Delta Automotive,Automação,Ricardo Lima,Engenharia,Gestão,2024,4,126,105,-21,Dentro Orcado,2024-04-01
PRJ-2025,Projeto 25,Delta Automotive,Automação,Ricardo Lima,Software,Software,2024,6,124,123,-1,Dentro Orcado,2024-06-01
PRJ-2025,Projeto 25,Delta Automotive,Automação,Ricardo Lima,Hardware,Hardware,2024,7,190,0,-190,Dentro Orcado,2024-07-01
PRJ-2025,Projeto 25,Delta Automotive,Automação,Ricardo Lima,Instalação,Instalação,2024,7,92,0,-92,Dentro Orcado,2024-07-01
PRJ-2025,Projeto 25,Delta Automotive,Automação,Ricardo Lima,Testes,Testes,2024,8,73,0,-73,Dentro Orcado,2024-08-01
PRJ-2025,Projeto 25,Delta Automotive,Automação,Ricardo Lima,Startup,Gestão,2024,10,165,0,-165,Dentro Orcado,2024-10-01
PRJ-2025,Projeto 25,Delta Automotive,Automação,Ricardo Lima,Entrega,Gestão,2024,11,81,0,-81,Dentro Orcado,2024-11-01
PRJ-2026,Projeto 26,Omega Foods,Automação,Marcos Pereira,Proposta,Gestão,2024,3,139,0,-139,Dentro Orcado,2024-03-01
PRJ-2026,Projeto 26,Omega Foods,Automação,Marcos Pereira,Planejamento,Gestão,2024,2,187,0,-187,Dentro Orcado,2024-02-01
PRJ-2026,Projeto 26,Omega Foods,Automação,Marcos Pereira,Engenharia,Gestão,2024,3,117,0,-117,Dentro Orcado,2024-03-01
PRJ-2026,Projeto 26,Omega Foods,Automação,Marcos Pereira,Software,Software,2024,6,194,0,-194,Dentro Orcado,2024-06-01
PRJ-2026,Projeto 26,Omega Foods,Automação,Marcos Pereira,Hardware,Hardware,2024,7,106,0,-106,Dentro Orcado,2024-07-01
PRJ-2026,Projeto 26,Omega Foods,Automação,Marcos Pereira,Instalação,Instalação,2024,6,198,0,-198,Dentro Orcado,2024-06-01
PRJ-2026,Projeto 26,Omega Foods,Automação,Marcos Pereira,Testes,Testes,2024,7,83,0,-83,Dentro Orcado,2024-07-01
PRJ-2026,Projeto 26,Omega Foods,Automação,Marcos Pereira,Startup,Gestão,2024,10,191,0,-191,Dentro Orcado,2024-10-01
PRJ-2026,Projeto 26,Omega Foods,Automação,Marcos Pereira,Entrega,Gestão,2024,11,152,0,-152,Dentro Orcado,2024-11-01
PRJ-2027,Projeto 27,Delta Automotive,Automotive,Ricardo Lima,Proposta,Gestão,2024,1,134,0,-134,Dentro Orcado,2024-01-01
PRJ-2027,Projeto 27,Delta Automotive,Automotive,Ricardo Lima,Planejamento,Gestão,2024,4,51,0,-51,Dentro Orcado,2024-04-01
PRJ-2027,Projeto 27,Delta Automotive,Automotive,Ricardo Lima,Engenharia,Gestão,2024,4,83,0,-83,Dentro Orcado,2024-04-01
PRJ-2027,Projeto 27,Delta Automotive,Automotive,Ricardo Lima,Software,Software,2024,5,93,0,-93,Dentro Orcado,2024-05-01
PRJ-2027,Projeto 27,Delta Automotive,Automotive,Ricardo Lima,Hardware,Hardware,2024,6,128,0,-128,Dentro Orcado,2024-06-01
PRJ-2027,Projeto 27,Delta Automotive,Automotive,Ricardo Lima,Instalação,Instalação,2024,7,97,0,-97,Dentro Orcado,2024-07-01
PRJ-2027,Projeto 27,Delta Automotive,Automotive,Ricardo Lima,Testes,Testes,2024,7,176,0,-176,Dentro Orcado,2024-07-01
PRJ-2027,Projeto 27,Delta Automotive,Automotive,Ricardo Lima,Startup,Gestão,2024,8,132,0,-132,Dentro Orcado,2024-08-01
PRJ-2027,Projeto 27,Delta Automotive,Automotive,Ricardo Lima,Entrega,Gestão,2024,10,119,0,-119,Dentro Orcado,2024-10-01
PRJ-2028,Projeto 28,Beta Manufacturing,Automotive,Ana Souza,Proposta,Gestão,2024,1,173,164,-9,Dentro Orcado,2024-01-01
PRJ-2028,Projeto 28,Beta Manufacturing,Automotive,Ana Souza,Planejamento,Gestão,2024,4,72,76,4,Acima Orcado,2024-04-01
PRJ-2028,Projeto 28,Beta Manufacturing,Automotive,Ana Souza,Engenharia,Gestão,2024,5,118,110,-8,Dentro Orcado,2024-05-01
PRJ-2028,Projeto 28,Beta Manufacturing,Automotive,Ana Souza,Software,Software,2024,5,96,94,-2,Dentro Orcado,2024-05-01
PRJ-2028,Projeto 28,Beta Manufacturing,Automotive,Ana Souza,Hardware,Hardware,2024,7,102,117,15,Acima Orcado,2024-07-01
PRJ-2028,Projeto 28,Beta Manufacturing,Automotive,Ana Souza,Instalação,Instalação,2024,6,153,179,26,Acima Orcado,2024-06-01
PRJ-2028,Projeto 28,Beta Manufacturing,Automotive,Ana Souza,Testes,Testes,2024,8,133,152,19,Acima Orcado,2024-08-01
PRJ-2028,Projeto 28,Beta Manufacturing,Automotive,Ana Souza,Startup,Gestão,2024,10,112,129,17,Acima Orcado,2024-10-01
PRJ-2028,Projeto 28,Beta Manufacturing,Automotive,Ana Souza,Entrega,Gestão,2024,10,155,159,4,Acima Orcado,2024-10-01
PRJ-2029,Projeto 29,Gamma Energy,Industrial,Fernando Alves,Proposta,Gestão,2024,3,195,230,35,Acima Orcado,2024-03-01
PRJ-2029,Projeto 29,Gamma Energy,Industrial,Fernando Alves,Planejamento,Gestão,2024,4,94,92,-2,Dentro Orcado,2024-04-01
PRJ-2029,Projeto 29,Gamma Energy,Industrial,Fernando Alves,Engenharia,Gestão,2024,5,191,227,36,Acima Orcado,2024-05-01
PRJ-2029,Projeto 29,Gamma Energy,Industrial,Fernando Alves,Software,Software,2024,5,196,206,10,Acima Orcado,2024-05-01
PRJ-2029,Projeto 29,Gamma Energy,Industrial,Fernando Alves,Hardware,Hardware,2024,7,84,84,0,Dentro Orcado,2024-07-01
PRJ-2029,Projeto 29,Gamma Energy,Industrial,Fernando Alves,Instalação,Instalação,2024,8,163,177,14,Acima Orcado,2024-08-01
PRJ-2029,Projeto 29,Gamma Energy,Industrial,Fernando Alves,Testes,Testes,2024,7,166,174,8,Acima Orcado,2024-07-01
PRJ-2029,Projeto 29,Gamma Energy,Industrial,Fernando Alves,Startup,Gestão,2024,9,87,97,10,Acima Orcado,2024-09-01
PRJ-2029,Projeto 29,Gamma Energy,Industrial,Fernando Alves,Entrega,Gestão,2024,10,85,80,-5,Dentro Orcado,2024-10-01
PRJ-2030,Projeto 30,Omega Foods,Alimentos,Fernando Alves,Proposta,Gestão,2024,3,135,140,5,Acima Orcado,2024-03-01
PRJ-2030,Projeto 30,Omega Foods,Alimentos,Fernando Alves,Planejamento,Gestão,2024,4,59,56,-3,Dentro Orcado,2024-04-01
PRJ-2030,Projeto 30,Omega Foods,Alimentos,Fernando Alves,Engenharia,Gestão,2024,4,135,141,6,Acima Orcado,2024-04-01
PRJ-2030,Projeto 30,Omega Foods,Alimentos,Fernando Alves,Software,Software,2024,4,128,127,-1,Dentro Orcado,2024-04-01
PRJ-2030,Projeto 30,Omega Foods,Alimentos,Fernando Alves,Hardware,Hardware,2024,6,173,0,-173,Dentro Orcado,2024-06-01
PRJ-2030,Projeto 30,Omega Foods,Alimentos,Fernando Alves,Instalação,Instalação,2024,8,200,0,-200,Dentro Orcado,2024-08-01
PRJ-2030,Projeto 30,Omega Foods,Alimentos,Fernando Alves,Testes,Testes,2024,8,200,0,-200,Dentro Orcado,2024-08-01
PRJ-2030,Projeto 30,Omega Foods,Alimentos,Fernando Alves,Startup,Gestão,2024,9,102,0,-102,Dentro Orcado,2024-09-01
PRJ-2030,Projeto 30,Omega Foods,Alimentos,Fernando Alves,Entrega,Gestão,2024,10,128,0,-128,Dentro Orcado,2024-10-01
PRJ-2031,Projeto 31,Alfa Industria,Automação,Fernando Alves,Proposta,Gestão,2024,3,55,59,4,Acima Orcado,2024-03-01
PRJ-2031,Projeto 31,Alfa Industria,Automação,Fernando Alves,Planejamento,Gestão,2024,4,93,98,5,Acima Orcado,2024-04-01
PRJ-2031,Projeto 31,Alfa Industria,Automação,Fernando Alves,Engenharia,Gestão,2024,5,135,119,-16,Dentro Orcado,2024-05-01
PRJ-2031,Projeto 31,Alfa Industria,Automação,Fernando Alves,Software,Software,2024,4,87,73,-14,Dentro Orcado,2024-04-01
PRJ-2031,Projeto 31,Alfa Industria,Automação,Fernando Alves,Hardware,Hardware,2024,5,105,0,-105,Dentro Orcado,2024-05-01
PRJ-2031,Projeto 31,Alfa Industria,Automação,Fernando Alves,Instalação,Instalação,2024,6,164,0,-164,Dentro Orcado,2024-06-01
PRJ-2031,Projeto 31,Alfa Industria,Automação,Fernando Alves,Testes,Testes,2024,8,198,0,-198,Dentro Orcado,2024-08-01
PRJ-2031,Projeto 31,Alfa Industria,Automação,Fernando Alves,Startup,Gestão,2024,9,145,0,-145,Dentro Orcado,2024-09-01
PRJ-2031,Projeto 31,Alfa Industria,Automação,Fernando Alves,Entrega,Gestão,2024,10,195,0,-195,Dentro Orcado,2024-10-01
PRJ-2032,Projeto 32,Beta Manufacturing,Automotive,Carlos Silva,Proposta,Gestão,2024,1,151,159,8,Acima Orcado,2024-01-01
PRJ-2032,Projeto 32,Beta Manufacturing,Automotive,Carlos Silva,Planejamento,Gestão,2024,3,71,72,1,Acima Orcado,2024-03-01
PRJ-2032,Projeto 32,Beta Manufacturing,Automotive,Carlos Silva,Engenharia,Gestão,2024,5,148,175,27,Acima Orcado,2024-05-01
PRJ-2032,Projeto 32,Beta Manufacturing,Automotive,Carlos Silva,Software,Software,2024,5,191,225,34,Acima Orcado,2024-05-01
PRJ-2032,Projeto 32,Beta Manufacturing,Automotive,Carlos Silva,Hardware,Hardware,2024,5,103,111,8,Acima Orcado,2024-05-01
PRJ-2032,Projeto 32,Beta Manufacturing,Automotive,Carlos Silva,Instalação,Instalação,2024,6,77,74,-3,Dentro Orcado,2024-06-01
PRJ-2032,Projeto 32,Beta Manufacturing,Automotive,Carlos Silva,Testes,Testes,2024,8,167,193,26,Acima Orcado,2024-08-01
PRJ-2032,Projeto 32,Beta Manufacturing,Automotive,Carlos Silva,Startup,Gestão,2024,10,200,228,28,Acima Orcado,2024-10-01
PRJ-2032,Projeto 32,Beta Manufacturing,Automotive,Carlos Silva,Entrega,Gestão,2024,10,148,173,25,Acima Orcado,2024-10-01
PRJ-2033,Projeto 33,Alfa Industria,Automotive,Fernando Alves,Proposta,Gestão,2024,1,168,149,-19,Dentro Orcado,2024-01-01
PRJ-2033,Projeto 33,Alfa Industria,Automotive,Fernando Alves,Planejamento,Gestão,2024,2,192,161,-31,Dentro Orcado,2024-02-01
PRJ-2033,Projeto 33,Alfa Industria,Automotive,Fernando Alves,Engenharia,Gestão,2024,3,161,153,-8,Dentro Orcado,2024-03-01
PRJ-2033,Projeto 33,Alfa Industria,Automotive,Fernando Alves,Software,Software,2024,5,71,69,-2,Dentro Orcado,2024-05-01
PRJ-2033,Projeto 33,Alfa Industria,Automotive,Fernando Alves,Hardware,Hardware,2024,7,83,0,-83,Dentro Orcado,2024-07-01
PRJ-2033,Projeto 33,Alfa Industria,Automotive,Fernando Alves,Instalação,Instalação,2024,7,132,0,-132,Dentro Orcado,2024-07-01
PRJ-2033,Projeto 33,Alfa Industria,Automotive,Fernando Alves,Testes,Testes,2024,9,146,0,-146,Dentro Orcado,2024-09-01
PRJ-2033,Projeto 33,Alfa Industria,Automotive,Fernando Alves,Startup,Gestão,2024,10,190,0,-190,Dentro Orcado,2024-10-01
PRJ-2033,Projeto 33,Alfa Industria,Automotive,Fernando Alves,Entrega,Gestão,2024,11,190,0,-190,Dentro Orcado,2024-11-01
PRJ-2034,Projeto 34,Delta Automotive,Energia,Carlos Silva,Proposta,Gestão,2024,1,135,145,10,Acima Orcado,2024-01-01
PRJ-2034,Projeto 34,Delta Automotive,Energia,Carlos Silva,Planejamento,Gestão,2024,2,155,184,29,Acima Orcado,2024-02-01
PRJ-2034,Projeto 34,Delta Automotive,Energia,Carlos Silva,Engenharia,Gestão,2024,3,56,61,5,Acima Orcado,2024-03-01
PRJ-2034,Projeto 34,Delta Automotive,Energia,Carlos Silva,Software,Software,2024,4,114,134,20,Acima Orcado,2024-04-01
PRJ-2034,Projeto 34,Delta Automotive,Energia,Carlos Silva,Hardware,Hardware,2024,7,168,158,-10,Dentro Orcado,2024-07-01
PRJ-2034,Projeto 34,Delta Automotive,Energia,Carlos Silva,Instalação,Instalação,2024,6,120,131,11,Acima Orcado,2024-06-01
PRJ-2034,Projeto 34,Delta Automotive,Energia,Carlos Silva,Testes,Testes,2024,9,146,139,-7,Dentro Orcado,2024-09-01
PRJ-2034,Projeto 34,Delta Automotive,Energia,Carlos Silva,Startup,Gestão,2024,8,100,97,-3,Dentro Orcado,2024-08-01
PRJ-2034,Projeto 34,Delta Automotive,Energia,Carlos Silva,Entrega,Gestão,2024,11,127,124,-3,Dentro Orcado,2024-11-01
PRJ-2035,Projeto 35,Alfa Industria,Automotive,Ricardo Lima,Proposta,Gestão,2024,2,179,171,-8,Dentro Orcado,2024-02-01
PRJ-2035,Projeto 35,Alfa Industria,Automotive,Ricardo Lima,Planejamento,Gestão,2024,2,58,52,-6,Dentro Orcado,2024-02-01
PRJ-2035,Projeto 35,Alfa Industria,Automotive,Ricardo Lima,Engenharia,Gestão,2024,3,57,49,-8,Dentro Orcado,2024-03-01
PRJ-2035,Projeto 35,Alfa Industria,Automotive,Ricardo Lima,Software,Software,2024,4,70,68,-2,Dentro Orcado,2024-04-01
PRJ-2035,Projeto 35,Alfa Industria,Automotive,Ricardo Lima,Hardware,Hardware,2024,5,52,0,-52,Dentro Orcado,2024-05-01
PRJ-2035,Projeto 35,Alfa Industria,Automotive,Ricardo Lima,Instalação,Instalação,2024,7,152,0,-152,Dentro Orcado,2024-07-01
PRJ-2035,Projeto 35,Alfa Industria,Automotive,Ricardo Lima,Testes,Testes,2024,8,120,0,-120,Dentro Orcado,2024-08-01
PRJ-2035,Projeto 35,Alfa Industria,Automotive,Ricardo Lima,Startup,Gestão,2024,8,147,0,-147,Dentro Orcado,2024-08-01
PRJ-2035,Projeto 35,Alfa Industria,Automotive,Ricardo Lima,Entrega,Gestão,2024,9,91,0,-91,Dentro Orcado,2024-09-01
PRJ-2036,Projeto 36,Gamma Energy,Automotive,Carlos Silva,Proposta,Gestão,2024,2,120,0,-120,Dentro Orcado,2024-02-01
PRJ-2036,Projeto 36,Gamma Energy,Automotive,Carlos Silva,Planejamento,Gestão,2024,2,82,0,-82,Dentro Orcado,2024-02-01
PRJ-2036,Projeto 36,Gamma Energy,Automotive,Carlos Silva,Engenharia,Gestão,2024,5,76,0,-76,Dentro Orcado,2024-05-01
PRJ-2036,Projeto 36,Gamma Energy,Automotive,Carlos Silva,Software,Software,2024,4,72,0,-72,Dentro Orcado,2024-04-01
PRJ-2036,Projeto 36,Gamma Energy,Automotive,Carlos Silva,Hardware,Hardware,2024,7,183,0,-183,Dentro Orcado,2024-07-01
PRJ-2036,Projeto 36,Gamma Energy,Automotive,Carlos Silva,Instalação,Instalação,2024,8,193,0,-193,Dentro Orcado,2024-08-01
PRJ-2036,Projeto 36,Gamma Energy,Automotive,Carlos Silva,Testes,Testes,2024,8,70,0,-70,Dentro Orcado,2024-08-01
PRJ-2036,Projeto 36,Gamma Energy,Automotive,Carlos Silva,Startup,Gestão,2024,10,62,0,-62,Dentro Orcado,2024-10-01
PRJ-2036,Projeto 36,Gamma Energy,Automotive,Carlos Silva,Entrega,Gestão,2024,10,178,0,-178,Dentro Orcado,2024-10-01
PRJ-2037,Projeto 37,Omega Foods,Energia,Ana Souza,Proposta,Gestão,2024,1,92,0,-92,Dentro Orcado,2024-01-01
PRJ-2037,Projeto 37,Omega Foods,Energia,Ana Souza,Planejamento,Gestão,2024,2,53,0,-53,Dentro Orcado,2024-02-01
PRJ-2037,Projeto 37,Omega Foods,Energia,Ana Souza,Engenharia,Gestão,2024,3,117,0,-117,Dentro Orcado,2024-03-01
PRJ-2037,Projeto 37,Omega Foods,Energia,Ana Souza,Software,Software,2024,4,73,0,-73,Dentro Orcado,2024-04-01
PRJ-2037,Projeto 37,Omega Foods,Energia,Ana Souza,Hardware,Hardware,2024,5,135,0,-135,Dentro Orcado,2024-05-01
PRJ-2037,Projeto 37,Omega Foods,Energia,Ana Souza,Instalação,Instalação,2024,8,115,0,-115,Dentro Orcado,2024-08-01
PRJ-2037,Projeto 37,Omega Foods,Energia,Ana Souza,Testes,Testes,2024,9,155,0,-155,Dentro Orcado,2024-09-01
PRJ-2037,Projeto 37,Omega Foods,Energia,Ana Souza,Startup,Gestão,2024,8,136,0,-136,Dentro Orcado,2024-08-01
PRJ-2037,Projeto 37,Omega Foods,Energia,Ana Souza,Entrega,Gestão,2024,10,80,0,-80,Dentro Orcado,2024-10-01
PRJ-2038,Projeto 38,Omega Foods,Automotive,Fernando Alves,Proposta,Gestão,2024,3,70,63,-7,Dentro Orcado,2024-03-01
PRJ-2038,Projeto 38,Omega Foods,Automotive,Fernando Alves,Planejamento,Gestão,2024,3,183,170,-13,Dentro Orcado,2024-03-01
PRJ-2038,Projeto 38,Omega Foods,Automotive,Fernando Alves,Engenharia,Gestão,2024,3,79,75,-4,Dentro Orcado,2024-03-01
PRJ-2038,Projeto 38,Omega Foods,Automotive,Fernando Alves,Software,Software,2024,4,151,159,8,Acima Orcado,2024-04-01
PRJ-2038,Projeto 38,Omega Foods,Automotive,Fernando Alves,Hardware,Hardware,2024,7,180,0,-180,Dentro Orcado,2024-07-01
PRJ-2038,Projeto 38,Omega Foods,Automotive,Fernando Alves,Instalação,Instalação,2024,6,194,0,-194,Dentro Orcado,2024-06-01
PRJ-2038,Projeto 38,Omega Foods,Automotive,Fernando Alves,Testes,Testes,2024,8,193,0,-193,Dentro Orcado,2024-08-01
PRJ-2038,Projeto 38,Omega Foods,Automotive,Fernando Alves,Startup,Gestão,2024,8,121,0,-121,Dentro Orcado,2024-08-01
PRJ-2038,Projeto 38,Omega Foods,Automotive,Fernando Alves,Entrega,Gestão,2024,10,53,0,-53,Dentro Orcado,2024-10-01
PRJ-2039,Projeto 39,Delta Automotive,Energia,Carlos Silva,Proposta,Gestão,2024,2,94,0,-94,Dentro Orcado,2024-02-01
PRJ-2039,Projeto 39,Delta Automotive,Energia,Carlos Silva,Planejamento,Gestão,2024,2,87,0,-87,Dentro Orcado,2024-02-01
PRJ-2039,Projeto 39,Delta Automotive,Energia,Carlos Silva,Engenharia,Gestão,2024,3,120,0,-120,Dentro Orcado,2024-03-01
PRJ-2039,Projeto 39,Delta Automotive,Energia,Carlos Silva,Software,Software,2024,6,164,0,-164,Dentro Orcado,2024-06-01
PRJ-2039,Projeto 39,Delta Automotive,Energia,Carlos Silva,Hardware,Hardware,2024,5,195,0,-195,Dentro Orcado,2024-05-01
PRJ-2039,Projeto 39,Delta Automotive,Energia,Carlos Silva,Instalação,Instalação,2024,8,178,0,-178,Dentro Orcado,2024-08-01
PRJ-2039,Projeto 39,Delta Automotive,Energia,Carlos Silva,Testes,Testes,2024,9,73,0,-73,Dentro Orcado,2024-09-01
PRJ-2039,Projeto 39,Delta Automotive,Energia,Carlos Silva,Startup,Gestão,2024,10,58,0,-58,Dentro Orcado,2024-10-01
PRJ-2039,Projeto 39,Delta Automotive,Energia,Carlos Silva,Entrega,Gestão,2024,10,130,0,-130,Dentro Orcado,2024-10-01
PRJ-2040,Projeto 40,Omega Foods,Automação,Ana Souza,Proposta,Gestão,2024,1,154,130,-24,Dentro Orcado,2024-01-01
PRJ-2040,Projeto 40,Omega Foods,Automação,Ana Souza,Planejamento,Gestão,2024,3,140,138,-2,Dentro Orcado,2024-03-01
PRJ-2040,Projeto 40,Omega Foods,Automação,Ana Souza,Engenharia,Gestão,2024,5,64,59,-5,Dentro Orcado,2024-05-01
PRJ-2040,Projeto 40,Omega Foods,Automação,Ana Souza,Software,Software,2024,4,158,128,-30,Dentro Orcado,2024-04-01
PRJ-2040,Projeto 40,Omega Foods,Automação,Ana Souza,Hardware,Hardware,2024,5,98,0,-98,Dentro Orcado,2024-05-01
PRJ-2040,Projeto 40,Omega Foods,Automação,Ana Souza,Instalação,Instalação,2024,8,111,0,-111,Dentro Orcado,2024-08-01
PRJ-2040,Projeto 40,Omega Foods,Automação,Ana Souza,Testes,Testes,2024,9,195,0,-195,Dentro Orcado,2024-09-01
PRJ-2040,Projeto 40,Omega Foods,Automação,Ana Souza,Startup,Gestão,2024,8,180,0,-180,Dentro Orcado,2024-08-01
PRJ-2040,Projeto 40,Omega Foods,Automação,Ana Souza,Entrega,Gestão,2024,11,197,0,-197,Dentro Orcado,2024-11-01
